Fund Name,Expense Category,Org Description,Object Description,Original Budget,Revised Budget,Fiscal Year,ID
Water Fund,Utilities Exp,Water General Operations,Utilities Water,1861,1861,2018,2018-5212-510-80900-00000000-WGENX   -5402-
General Fund,Supplies Exp,Genl Fd Communications,Supplies Minor Equip/Tools,3148,3148,2018,2018-1001-410-80350-00000000-00000000-5102
General Fund,Replacements Exp,Genl Fd PARD Administration,Replacement Fleet,5000,5000,2018,2018-1001-530-81100-00000000-00000000-5600
Water Fund,Purchased Services,Water General Operations,Printing External,188,188,2018,2018-5212-510-80900-00000000-WGENX   -5582-
Water Fund,Supplies Exp,Water General Operations,Supplies Food & Beverages,2903,2903,2018,2018-5212-510-80900-00000000-WGENX   -5114-
General Fund,Prof Svcs Exp,Genl Fd Facilities Management,Prof Svcs Miscellaneous,155538,155538,2018,2018-1001-440-80720-00000000-00000000-5399
General Fund,Purchased Services,Genl Fd Comm & Nhood Transport,Training Inhouse,250,250,2018,2018-1001-430-80540-00000000-00000000-5552
General Fund,Misc Operating Exp,Genl Fd Fire Training,Misc Subscriptions,20525,20525,2018,2018-1001-420-80450-00000000-00000000-5935-
General Fund,Prof Svcs Exp,Genl Fd Operations East Dist,Prof Svcs Medical,220,220,2018,2018-1001-530-81141-00000000-00000000-5305
Water Fund,Supplies Exp,Water General Maintenance,Supplies Workorder Supplies,34182,34182,2018,2018-5212-510-80900-00000000-WGENM   -5100-
General Fund,Purchased Services,Genl Fd Traffic Engineering,Training Outside,4000,4000,2018,2018-1001-440-80710-00000000-00000000-5551
General Fund,Supplies Exp,Genl Fd Support Services,Supplies Medical,2080,2080,2018,2018-1001-410-80340-00000000-00000000-5111
General Fund,Salaries/Benefit Exp,Genl Fd Streets Maintenance,Benefits Workers Comp Ins,23583,23583,2018,2018-1001-440-80740-00000000-00000000-5057
Wastewater Fund,Salaries/Benefit Exp,WW Pumping Treat Disp Oper,Salaries Overtime,29412,29412,2018,2018-5213-520-80960-00000000-STRTX   -5014-
General Fund,Salaries/Benefit Exp,Genl Fd Public Works Admin,Benefits Car Allowance,9600,9600,2018,2018-1001-440-80700-00000000-00000000-5061
Electric Fund,Salaries/Benefit Exp,Elec T&D Safety,Benefits Workers Comp Ins,2484,2484,2018,2018-5211-500-80870-00000000-925     -5057-
General Fund,Salaries/Benefit Exp,Genl Fd Operations South Dist,Benefits Group Life Insurance,979,979,2018,2018-1001-530-81142-00000000-00000000-5056
Water Fund,Prof Svcs Exp,Water General Operations,Prof Svcs Pre Employment Costs,489,489,2018,2018-5212-510-80910-00000000-WGENX   -5307-
General Fund,Indirect Exp,Genl Fd PARD Administration,Recreation Indirect PARD Admin,-159644,-159644,2018,2018-1001-530-81100-00000000-00000000-5810
Sidewalk Zone 5 Fund,Capital Outlay,SW Zone 5 Fd Non Dept CIP,Cap Outlay Impr Construction,30000,30000,2018,2018-3025-910-89971-00000000-00000000-6561-
General Fund,Salaries/Benefit Exp,Genl Fd Public Communications,Benefits Gym Membership,362,362,2018,2018-1001-100-80150-00000000-00000000-5060
Electric Fund,Misc Operating Exp,Elec Adm Misc General Exp,Misc Memberships,65800,65800,2018,2018-5211-500-80810-00000000-930.2   -5930
General Fund,Utilities Exp,Genl Fd Capital Projects Oper,Utilities Local Phone,615,615,2018,2018-1001-440-80730-00000000-00000000-5404
Electric Fund,Supplies Exp,Elec Adm Ofc Supp/Other,Supplies Chemicals/Pesticides,1000,1000,2018,2018-5211-500-80810-00000000-921     -5108
General Fund,Supplies Exp,Genl Fd Fire Suppression,Supplies Safety,9800,9800,2018,2018-1001-420-80420-00000000-00000000-5122-
General Fund,Prof Svcs Exp,Genl Fd Tourism Special Events,Prof Svcs Miscellaneous,28090,28090,2018,2018-1001-530-81121-00000000-00000000-5399
General Fund,Supplies Exp,Genl Fd Traffic Signs/Markings,Supplies Goodwill,354,354,2018,2018-1001-440-80750-00000000-00000000-5116
Sanitation Fund,Salaries/Benefit Exp,Sanitation Fd Commercial,Benefits Group Health Ins,126752,126752,2018,2018-5214-440-80781-00000000-00000000-5055
Utility Customer Service Fund,Utilities Exp,UCS Fd Meter Svcs,Utilities Electric,6525,6525,2018,2018-2226-300-80270-00000000-00000000-5400
General Fund,Supplies Exp,Genl Fd Swim Lessons,Supplies Miscellaneous,1000,1000,2018,2018-1001-530-81125-AQ736   -00000000-5199
Water Fund,Prof Svcs Exp,Water General Operations,Prof Svcs Special Studies,55300,55300,2018,2018-5212-510-80910-00000000-WGENX   -5304-
General Fund,Salaries/Benefit Exp,Genl Fd Municipal Court,Salaries Temp/Seasonal/PTNB,22913,22913,2018,2018-1001-300-80240-00000000-00000000-5013
General Fund,Purchased Services,Genl Fd Judiciary,Travel Lodging/Transport/Other,1182,1182,2018,2018-1001-300-80250-00000000-00000000-5570
General Fund,Prof Svcs Exp,Genl Fd Public Works Admin,Prof Svcs Engineer/Survey,7500,7500,2018,2018-1001-440-80700-00000000-00000000-5303
General Fund,Supplies Exp,Genl Fd Communications,Supplies Clothing/Uniforms,1305,1305,2018,2018-1001-410-80350-00000000-00000000-5120
Electric Fund,Capital Outlay,Elec Fd ND Dir Cap St Equip,Cap Outlay El Plant Dist Dir,15000,15000,2018,2018-5211-500-89100-00000000-362     -6544-
General Fund,Indirect Exp,Genl Fd Aquatics Admin,Recreation Indirect Prog Exp,-233631,-233631,2018,2018-1001-530-81125-AQ730   -00000000-5830
General Fund,Utilities Exp,Genl Fd Facilities Management,Utilities Sanitation,9800,9800,2018,2018-1001-440-80720-00000000-00000000-5408
Water Fund,Purchased Services,Water General Operations,Advertising Recruiting,235,235,2018,2018-5212-510-80900-00000000-WGENX   -5541-
Wastewater Fund,Salaries/Benefit Exp,WW Collection Operations,Benefits OPEB,14412,14412,2018,2018-5213-520-80950-00000000-SCOPX   -5053-
Employee Benefits Fund,Non-Dept Ins Claims,Empl Ben Ins Fd Non Dept Exp,Insure Claims Medical,6175000,6175000,2018,2018-2222-910-89100-00000000-00000000-6118
General Fund,Salaries/Benefit Exp,Genl Fd IT Administration,Benefits FICA,21633,21633,2018,2018-1001-600-81200-00000000-00000000-5050
Neighborhood Park Zone 3 Fund,Capital Outlay,Neigh Pk Zone 3 Non Dept CIP,Cap Outlay Impr Construction,24500,24500,2018,2018-4173-910-89971-00000000-00000000-6561
General Fund,Purchased Services,Genl Fd Tourism Athletics,Travel Lodging/Transport/Other,32806,32806,2018,2018-1001-530-81122-00000000-00000000-5570
Equipment Replacement Fund,Dept Capital Exp,Equip Repl FD Non Dept Exp,Capital Mobile Video Cameras,136344,136344,2018,2018-2225-910-89100-00000000-00000000-5775-
General Fund,Supplies Exp,Genl Fd Mayor & Council,Supplies Computer Hdw/Sftw/Oth,1550,1550,2018,2018-1001-100-80100-00000000-00000000-5112
Electric Fund,Salaries/Benefit Exp,Elec Whse Stores Exp,Benefits Gym Membership,241,241,2018,2018-5211-500-80800-00000000-163     -5060
Wastewater Fund,Supplies Exp,WW Sludge Operations,Supplies Chemicals/Pesticides,152856,152856,2018,2018-5213-520-80960-00000000-SLUDX   -5108-
General Fund,Salaries/Benefit Exp,Genl Fd Account/Treasury Oper,Benefits Gym Membership,845,845,2018,2018-1001-300-80210-00000000-00000000-5060
Employee Benefits Fund,Salaries/Benefit Exp,Empl Ben Ins Fd Operations,Benefits FICA,3438,3438,2018,2018-2222-100-80160-00000000-00000000-5050
General Fund,Purchased Services,Genl Fd Facilities Management,Printing External,300,300,2018,2018-1001-440-80720-00000000-00000000-5582
General Fund,Salaries/Benefit Exp,Genl Fd Technology Services,Salaries Overtime,7516,7516,2018,2018-1001-600-81240-00000000-00000000-5014
General Fund,Purchased Services,Genl Fd City Secretary,Training Outside,3000,3000,2018,2018-1001-100-80110-00000000-00000000-5551
General Fund,Misc Operating Exp,Genl Fd Public Communications,Misc Subscriptions,100,100,2018,2018-1001-100-80150-00000000-00000000-5935
General Fund,Purchased Services,Genl Fd Public Works Admin,Advertising Promotional,125,125,2018,2018-1001-440-80700-00000000-00000000-5542
Wastewater Fund,Supplies Exp,WW General Plant Maintenance,Supplies Workorder Supplies,32677,32677,2018,2018-5213-520-80960-00000000-SGMTM   -5100-
General Fund,Utilities Exp,Genl Fd City Secretary,Utilities Phone Long Distance,176,176,2018,2018-1001-100-80110-00000000-00000000-5405
General Fund,Salaries/Benefit Exp,Genl Fd Code Enforcement,Benefits FICA,15451,15451,2018,2018-1001-450-80610-00000000-00000000-5050
Sanitation Fund,Purchased Services,Sanitation Fd Residential,Travel Lodging/Transport/Other,5500,5500,2018,2018-5214-440-80780-00000000-00000000-5570
Wastewater Fund,Salaries/Benefit Exp,WW General Plant Maintenance,Salaries Full Time Labor,41848,41848,2018,2018-5213-520-80960-00000000-SGMTM   -5011-
General Fund,Purchased Services,Genl Fd Develop Svcs Dev Coord,Training Outside,2794,2794,2018,2018-1001-430-80521-00000000-00000000-5551
Equipment Replacement Fund,Contingency,Equip Repl FD Non Dept Exp,Contingency,40000,40000,2018,2018-2225-910-89100-00000000-00000000-6990
Electric Fund,Supplies Exp,Elec Adm Ofc Supp/Other,Supplies Minor Equip/Tools,1500,1500,2018,2018-5211-500-80810-00000000-921     -5102
General Fund,Maintenance Exp,Genl Fd Southwood Pool,Maint Heavy Equipment,200,200,2018,2018-1001-530-81125-AQ731   -00000000-5205
Electric Fund,Salaries/Benefit Exp,Elec Sub Safety,Benefits Group Health Ins,5921,5921,2018,2018-5211-500-80820-00000000-925     -5055-
General Fund,Purchased Services,Genl Fd Economic Development,Printing External,5000,5000,2018,2018-1001-100-80170-00000000-00000000-5582-
General Fund,Purchased Services,Genl Fd Comm & Nhood GIS,Travel Lodging/Transport/Other,558,558,2018,2018-1001-430-80542-00000000-00000000-5570
Wastewater Fund,Capital Projects Xfr,WW Fd Non Dept Exp,Transfer Out WW CIP Fd,4875000,4875000,2018,2018-5213-910-89100-00000000-00000000-6882
General Fund,Supplies Exp,Genl Fd Cemetery,Supplies Janitorial,1100,1100,2018,2018-1001-530-81144-00000000-00000000-5109
General Fund,Supplies Exp,Genl Fd Xtra Education,Supplies Promotional,1000,1000,2018,2018-1001-530-81125-XT794   -00000000-5115
General Fund,Supplies Exp,Genl Fd Operations East Dist,Supplies Clothing/Uniforms,500,500,2018,2018-1001-530-81141-00000000-00000000-5120
Electric Fund,Salaries/Benefit Exp,Elec Dis Tr Ld Disp & NERC Trn,Benefits OPEB,4605,4605,2018,2018-5211-500-80830-00000000-561.2   -5053-
General Fund,Supplies Exp,Genl Fd Criminal Investigation,Supplies Office Supplies,696,696,2018,2018-1001-410-80320-00000000-00000000-5101
General Fund,Salaries/Benefit Exp,Genl Fd Adamson Lagoon,Benefits FICA,11603,11603,2018,2018-1001-530-81125-AQ733   -00000000-5050
Fleet Maintenance Fund,Salaries/Benefit Exp,Fleet Fd Parts,Benefits Gym Membership,241,241,2018,2018-2227-440-80790-00000000-00000000-5060
General Fund,Utilities Exp,Genl Fd Municipal Court,Utilities Electric,26744,26744,2018,2018-1001-300-80240-00000000-00000000-5400
General Fund,Supplies Exp,Genl Fd Aquatics Admin,Supplies Clothing/Uniforms,3000,3000,2018,2018-1001-530-81125-AQ730   -00000000-5120
Electric Fund,Salaries/Benefit Exp,Elec Eng Oper Undrgrd Line,Benefits FICA,8535,8535,2018,2018-5211-500-80850-00000000-584     -5050-
General Fund,Purchased Services,Genl Fd Mayor & Council,Advertising Sponsorships,2000,2000,2018,2018-1001-100-80100-00000000-00000000-5543
General Fund,Purchased Services,Genl Fd Fire Prevention,Printing External,300,300,2018,2018-1001-420-80430-00000000-00000000-5582
General Fund,Salaries/Benefit Exp,Genl Fd Operations Admin,Benefits FICA,25654,25654,2018,2018-1001-530-81140-00000000-00000000-5050
Wastewater Fund,Salaries/Benefit Exp,WW Pumping Treat Disp Maint,Benefits Workers Comp Ins,1908,1908,2018,2018-5213-520-80960-00000000-STRTM   -5057-
General Fund,Maintenance Exp,Genl Fd Emergency Management,Maint Computer Hdw/Sftw/Other,505,505,2018,2018-1001-420-80410-00000000-00000000-5201
General Fund,Supplies Exp,Genl Fd Recruiting & Training,Supplies Minor Equip/Tools,234,234,2018,2018-1001-410-80330-00000000-00000000-5102
General Fund,Utilities Exp,Genl Fd Fire Administration,Utilities Rdwy Maint Fee,168,168,2018,2018-1001-420-80400-00000000-00000000-5409-
General Fund,Salaries/Benefit Exp,Genl Fd Support Services,Salaries Standby,10980,10980,2018,2018-1001-410-80340-00000000-00000000-5016
General Fund,Maintenance Exp,Genl Fd Network Services,Maint Office Equip/Furn,15000,15000,2018,2018-1001-600-81260-00000000-00000000-5200
Electric Fund,Supplies Exp,Elec Adm Safety & Related Exp,Supplies Medical,100,100,2018,2018-5211-500-80810-00000000-925     -5111
Sanitation Fund,Utilities Exp,Sanitation Fd Residential,Util Pur Svc Disposal Fees,606000,606000,2018,2018-5214-440-80780-00000000-00000000-5425
Northgate Parking Fund,Purchased Services,NG Pkg Fd Parking Oper,Advertising Recruiting,600,600,2018,2018-5202-450-80621-00000000-00000000-5541
General Fund,Supplies Exp,Genl Fd Southwood Pool,Supplies Miscellaneous,1662,1662,2018,2018-1001-530-81125-AQ731   -00000000-5199
General Fund,Salaries/Benefit Exp,Genl Fd Southwood Pool,Benefits Workers Comp Ins,49,49,2018,2018-1001-530-81125-AQ731   -00000000-5057
General Fund,Salaries/Benefit Exp,Genl Fd Tourism Special Events,Benefits OPEB,2590,2590,2018,2018-1001-530-81121-00000000-00000000-5053-
Drainage Utility Fund,Purchased Services,Drainage Fd Maintenance,Training Inhouse,2700,2700,2018,2018-3912-440-80796-00000000-00000000-5552
General Fund,Misc Operating Exp,Genl Fd Fire Administration,Misc Subscriptions,214,214,2018,2018-1001-420-80400-00000000-00000000-5935
Water Fund,Prof Svcs Exp,Water General Operations,Prof Svcs Engineer/Survey,5100,5100,2018,2018-5212-510-80900-00000000-WGENX   -5303-
Electric Fund,Maintenance Exp,Elec Sub Station Expense,Maint Grounds,17500,17500,2018,2018-5211-500-80820-00000000-562     -5212-
General Fund,Purchased Services,Genl Fd Support Services,Printing External,16292,16292,2018,2018-1001-410-80340-00000000-00000000-5582
General Fund,Supplies Exp,Genl Fd PARD Administration,Supplies Goodwill,3500,3500,2018,2018-1001-530-81100-00000000-00000000-5116
General Fund,Prof Svcs Exp,Genl Fd SW Center   Community,Prof Svcs Janitorial,500,500,2018,2018-1001-530-81125-CT870   -00000000-5309-
Streets Projects Fund,G&A Transfer Out,Streets CIP Fd Non Dept Exp,G&A Transfer Out General Fd,454007,454007,2018,2018-4139-910-89100-00000000-00000000-6310
General Fund,Supplies Exp,Genl Fd Community Svcs Admin,Supplies Goodwill,850,850,2018,2018-1001-450-80600-00000000-00000000-5116
General Fund,Supplies Exp,Genl Fd Adamson Lagoon,Supplies Clothing/Uniforms,1000,1000,2018,2018-1001-530-81125-AQ733   -00000000-5120
Employee Benefits Fund,Non-Dept Ins Premium,Empl Ben Ins Fd Non Dept Exp,Insure HSA City Paid,435000,435000,2018,2018-2222-910-89100-00000000-00000000-6143-
General Fund,Supplies Exp,Genl Fd SW Center   Community,Supplies Miscellaneous,3500,3500,2018,2018-1001-530-81125-CT870   -00000000-5199-
Wastewater Fund,Salaries/Benefit Exp,WW Sludge Maintenance,Benefits Gym Membership,1,1,2018,2018-5213-520-80960-00000000-SLUDM   -5060-
Sanitation Fund,Replacements Exp,Sanitation Fd Residential,Replacement Virtual Servers,910,910,2018,2018-5214-440-80780-00000000-00000000-5601-
Electric Fund,Salaries/Benefit Exp,Elec Sub Safety,Benefits Group Life Insurance,102,102,2018,2018-5211-500-80820-00000000-925     -5056-
General Fund,Supplies Exp,Genl Fd Traffic Signals,Supplies Chemicals/Pesticides,50,50,2018,2018-1001-440-80770-00000000-00000000-5108
General Fund,Supplies Exp,Genl Fd Facilities Management,Supplies Clothing/Uniforms,1400,1400,2018,2018-1001-440-80720-00000000-00000000-5120
General Fund,Salaries/Benefit Exp,Genl Fd PARD Administration,Benefits OPEB,9000,9000,2018,2018-1001-530-81100-00000000-00000000-5053-
Electric Fund,Salaries/Benefit Exp,Elec Sub Safety,Benefits Retirement,5088,5088,2018,2018-5211-500-80820-00000000-925     -5051-
General Fund,Salaries/Benefit Exp,Genl Fd Operations West Dist,Salaries Overtime,14057,14057,2018,2018-1001-530-81143-00000000-00000000-5014
Electric Fund,Salaries/Benefit Exp,Elec Sub Safety,Benefits Workers Comp Ins,559,559,2018,2018-5211-500-80820-00000000-925     -5057-
General Fund,Salaries/Benefit Exp,Genl Fd Criminal Investigation,Salaries Language Pay,292,292,2018,2018-1001-410-80320-00000000-00000000-5018
General Fund,Purchased Services,Genl Fd Code Enforcement,Training Inhouse,625,625,2018,2018-1001-450-80610-00000000-00000000-5552
General Fund,Salaries/Benefit Exp,Genl Fd Fire Suppression,Salaries Longevity,46139,46139,2018,2018-1001-420-80420-00000000-00000000-5015
Wastewater Fund,Purchased Services,WW General Plant Operations,Training Safety,538,538,2018,2018-5213-520-80960-00000000-SGOPX   -5553-
General Fund,Salaries/Benefit Exp,Genl Fd Purchasing,Salaries Full Time Labor,286644,286644,2018,2018-1001-300-80220-00000000-00000000-5011
General Fund,Replacements Exp,Genl Fd Landscape/Irrigation,Replacement Fleet,13500,13500,2018,2018-1001-440-80760-00000000-00000000-5600
General Fund,Prof Svcs Exp,Genl Fd Tennis Instruction,Prof Svcs Contract Labor,9000,9000,2018,2018-1001-530-81125-SP760   -00000000-5315-
General Fund,Supplies Exp,Genl Fd Facilities Management,Supplies Safety,2280,2280,2018,2018-1001-440-80720-00000000-00000000-5122
General Fund,Salaries/Benefit Exp,Genl Fd IT Administration,Benefits OPEB,3375,3375,2018,2018-1001-600-81200-00000000-00000000-5053-
General Fund,Misc Operating Exp,Genl Fd Traffic Signals,Misc Postage & Freight,50,50,2018,2018-1001-440-80770-00000000-00000000-5960
Utility Customer Service Fund,Prof Svcs Exp,UCS Fd Meter Svcs,Prof Svcs Drug Testing,75,75,2018,2018-2226-300-80270-00000000-00000000-5306
General Fund,Purchased Services,Genl Fd Purchasing,Printing External,150,150,2018,2018-1001-300-80220-00000000-00000000-5582
General Fund,Salaries/Benefit Exp,Genl Fd Business Services,Salaries Standby,8931,8931,2018,2018-1001-600-81250-00000000-00000000-5016
General Fund,Salaries/Benefit Exp,Genl Fd Jail,Salaries Cell Allowance,350,350,2018,2018-1001-410-80355-00000000-00000000-5021-
General Fund,Utilities Exp,Genl Fd Operations South Dist,Utilities Local Phone,273,273,2018,2018-1001-530-81142-00000000-00000000-5404
General Fund,Purchased Services,Genl Fd Civil Engineering,Insurance Premiums,6132,6132,2018,2018-1001-430-80510-00000000-00000000-5520
Northgate Parking Fund,Supplies Exp,NG Pkg Fd Parking Oper,Supplies Office Supplies,5600,5600,2018,2018-5202-450-80621-00000000-00000000-5101
General Fund,Utilities Exp,Genl Fd Lincoln Center,Utilities Water,5831,5831,2018,2018-1001-530-81125-CT850   -00000000-5402
General Fund,Utilities Exp,Genl Fd Operations Admin,Utilities Water,113496,113496,2018,2018-1001-530-81140-00000000-00000000-5402
General Fund,Maintenance Exp,Genl Fd Aquatics Admin,Maint Buildings/Structures,2000,2000,2018,2018-1001-530-81125-AQ730   -00000000-5211
Wastewater Fund,Salaries/Benefit Exp,WW Sludge Maintenance,Salaries Full Time Labor,12448,12448,2018,2018-5213-520-80960-00000000-SLUDM   -5011-
Wastewater Fund,Salaries/Benefit Exp,WW General Plant Maintenance,Salaries Incentive Pay,70,70,2018,2018-5213-520-80960-00000000-SGMTM   -5019-
Wastewater Fund,Supplies Exp,WW Pumping Treat Disp Oper,Supplies Safety,3500,3500,2018,2018-5213-520-80960-00000000-STRTX   -5122-
Fleet Maintenance Fund,Utilities Exp,Fleet Fd Admin,Utilities Rdwy Maint Fee,121,121,2018,2018-2227-440-80791-00000000-00000000-5409-
General Fund,Purchased Services,Genl Fd SW Center   Senior,Rent/Lease Miscellaneous,3500,3500,2018,2018-1001-530-81125-CT830   -00000000-5509
Economic Development Fund,Purchased Services,ED Fd Econ Dev Operations,Travel Lodging/Transport/Other,12000,12000,2018,2018-1002-100-80170-00000000-00000000-5570-
General Fund,Replacements Exp,Genl Fd Fire Administration,Replacement Virtual Servers,9099,9099,2018,2018-1001-420-80400-00000000-00000000-5601-
Efficiency Time Payment Fund,Misc Operating Exp,Eff Time Pmt Fd Operations,Misc Subscriptions,180,180,2018,2018-1008-300-80240-00000000-00000000-5935
Fleet Maintenance Fund,Salaries/Benefit Exp,Fleet Fd Parts,Salaries Full Time Labor,109261,109261,2018,2018-2227-440-80790-00000000-00000000-5011
General Fund,Purchased Services,Genl Fd City Manager,Insurance Premiums,3066,3066,2018,2018-1001-100-80130-00000000-00000000-5520
Community Development Fund,Salaries/Benefit Exp,Com Dev Fd Operations,Benefits FICA,14173,14173,2018,2018-3122-450-80630-00000000-00000000-5050
General Fund,Indirect Exp,Genl Fd Adult Kickball,Recreation Indirect Prog Exp,15075,15075,2018,2018-1001-530-81125-SP758   -00000000-5830
General Fund,Utilities Exp,Genl Fd Tourism Special Events,Utilities Water,15337,15337,2018,2018-1001-530-81121-00000000-00000000-5402
General Fund,Supplies Exp,Genl Fd Network Services,Supplies IT Sfw Replace,20605,20605,2018,2018-1001-600-81260-00000000-00000000-5133-
General Fund,Salaries/Benefit Exp,Genl Fd Traffic Signs/Markings,Benefits Group Health Ins,40565,40565,2018,2018-1001-440-80750-00000000-00000000-5055
General Fund,Salaries/Benefit Exp,Genl Fd PARD Administration,Benefits Workers Comp Ins,364,364,2018,2018-1001-530-81100-00000000-00000000-5057
General Fund,Supplies Exp,Genl Fd Develop Svcs Bldg,Supplies Veh/Equip Fuel & Oil,11111,11111,2018,2018-1001-430-80520-00000000-00000000-5104
General Fund,Utilities Exp,Genl Fd Public Works Admin,Utilities Phone Long Distance,646,646,2018,2018-1001-440-80700-00000000-00000000-5405
Electric Fund,Salaries/Benefit Exp,Elec T&D Mnt Dist Overhead,Benefits OPEB,4024,4024,2018,2018-5211-500-80870-00000000-593     -5053-
General Fund,Salaries/Benefit Exp,Genl Fd Economic Development,Benefits Retirement,30326,30326,2018,2018-1001-100-80170-00000000-00000000-5051-
General Fund,Supplies Exp,Genl Fd Operations South Dist,Supplies Janitorial,6000,6000,2018,2018-1001-530-81142-00000000-00000000-5109
Utility Customer Service Fund,Supplies Exp,UCS Fd Meter Svcs,Supplies Goodwill,500,500,2018,2018-2226-300-80270-00000000-00000000-5116
General Fund,Supplies Exp,Genl Fd Special Operations,Supplies Minor Equip/Tools,700,700,2018,2018-1001-410-80360-00000000-00000000-5102
Electric Fund,Salaries/Benefit Exp,Elec Com Reliab/Plan/Stand Dev,Benefits Workers Comp Ins,148,148,2018,2018-5211-500-80840-00000000-561.5   -5057
General Fund,Utilities Exp,Genl Fd Library,Utilities Sanitation,4000,4000,2018,2018-1001-530-81190-00000000-00000000-5408
Electric Fund,Supplies Exp,Elec Adm Ofc Supp/Other,Supplies Food & Beverages,9500,9500,2018,2018-5211-500-80810-00000000-921     -5114
Electric Fund,Salaries/Benefit Exp,Elec Sub Mnt Meters,Benefits OPEB,1820,1820,2018,2018-5211-500-80820-00000000-597     -5053-
General Fund,Supplies Exp,Genl Fd Recreation Admin,Supplies Promotional,1000,1000,2018,2018-1001-530-81110-00000000-00000000-5115
General Fund,Misc Operating Exp,Genl Fd Capital Projects Oper,Misc Subscriptions,1171,1171,2018,2018-1001-440-80730-00000000-00000000-5935
General Fund,Supplies Exp,Genl Fd Adult Volleyball,Supplies Awards,3000,3000,2018,2018-1001-530-81125-SP753   -00000000-5121
Wastewater Fund,Salaries/Benefit Exp,WW Pumping Treat Disp Oper,Benefits Workers Comp Ins,6754,6754,2018,2018-5213-520-80960-00000000-STRTX   -5057-
General Fund,Supplies Exp,Genl Fd Communication Services,Supplies Minor Equip/Tools,17250,17250,2018,2018-1001-600-81270-00000000-00000000-5102
Water Fund,Prof Svcs Exp,Water General Operations,Prof Svcs Drug Testing,837,837,2018,2018-5212-510-80910-00000000-WGENX   -5306-
General Fund,Salaries/Benefit Exp,Genl Fd Planning,Benefits Group Health Ins,91708,91708,2018,2018-1001-430-80530-00000000-00000000-5055
General Fund,Salaries/Benefit Exp,Genl Fd GIS,Benefits Workers Comp Ins,122,122,2018,2018-1001-600-81220-00000000-00000000-5057
Water Fund,Salaries/Benefit Exp,Water Pumping/Treatment Oper,Salaries Incentive Pay,197,197,2018,2018-5212-510-80900-00000000-WPMPX   -5019-
General Fund,Salaries/Benefit Exp,Genl Fd Budget/Financial Rep,Benefits Retirement,50355,50355,2018,2018-1001-300-80230-00000000-00000000-5051
General Fund,Salaries/Benefit Exp,Genl Fd Civil Engineering,Benefits Workers Comp Ins,1869,1869,2018,2018-1001-430-80510-00000000-00000000-5057
General Fund,Salaries/Benefit Exp,Genl Fd Communication Services,Salaries Language Pay,701,701,2018,2018-1001-600-81270-00000000-00000000-5018
General Fund,G&A Transfer Out,Genl Fd Adult Volleyball,G&A Transfer Out General Fd,2583,2583,2018,2018-1001-530-81125-SP753   -00000000-6310
General Fund,Salaries/Benefit Exp,Genl Fd Emergency Medical Svcs,Salaries Longevity,15766,15766,2018,2018-1001-420-80440-00000000-00000000-5015
General Fund,Utilities Exp,Genl Fd City Secretary,Utilities Local Phone,889,889,2018,2018-1001-100-80110-00000000-00000000-5404
General Fund,Replacements Exp,Genl Fd Fire Administration,Replacement Fleet,8750,8750,2018,2018-1001-420-80400-00000000-00000000-5600
General Fund,Salaries/Benefit Exp,Genl Fd Police Administration,Salaries Language Pay,409,409,2018,2018-1001-410-80300-00000000-00000000-5018
General Fund,Salaries/Benefit Exp,Genl Fd City Secretary,Benefits OPEB,6188,6188,2018,2018-1001-100-80110-00000000-00000000-5053-
Water Fund,Salaries/Benefit Exp,Water General Maintenance,Benefits OPEB,916,916,2018,2018-5212-510-80900-00000000-WGENM   -5053-
General Fund,Supplies Exp,Genl Fd Operations Admin,Supplies Miscellaneous,21230,21230,2018,2018-1001-530-81140-00000000-00000000-5199
Wastewater Fund,Utilities Exp,WW Collection Operations,Utilities Water,3592,3592,2018,2018-5213-520-80950-00000000-SCOPX   -5402-
General Fund,Prof Svcs Exp,Genl Fd Recruiting & Training,Prof Svcs Pre Employment Costs,75,75,2018,2018-1001-410-80330-00000000-00000000-5307
General Fund,Supplies Exp,Genl Fd Support Services,Supplies Miscellaneous,44256,44256,2018,2018-1001-410-80340-00000000-00000000-5199
Electric Fund,Salaries/Benefit Exp,Elec Whse Stores Exp,Salaries Temp/Seasonal/PTNB,6618,6618,2018,2018-5211-500-80800-00000000-163     -5013
Debt Service Fund,Debt Expense,Debt Svc Fd GO2010,Debt Principal Pmts GOB,830000,830000,2018,2018-1151-910-89210-GO2010  -00000000-6633
General Fund,Salaries/Benefit Exp,Genl Fd Operations South Dist,Benefits FICA,28458,28458,2018,2018-1001-530-81142-00000000-00000000-5050
General Fund,Salaries/Benefit Exp,Genl Fd Human Resources,Benefits OPEB,9000,9000,2018,2018-1001-100-80160-00000000-00000000-5053-
Hotel Tax Fund,Capital Outlay,Hotel Tax Fd Non Dept Exp,Cap Outlay Impr Construction,2574479,2574479,2018,2018-3121-910-89100-00000000-00000000-6561
General Fund,Salaries/Benefit Exp,Genl Fd Comm & Nhood Transport,Benefits OPEB,1125,1125,2018,2018-1001-430-80540-00000000-00000000-5053-
Wastewater Fund,Salaries/Benefit Exp,WW Collection Maintenance,Benefits Retirement,32120,32120,2018,2018-5213-520-80950-00000000-SCMTM   -5051-
General Fund,Supplies Exp,Genl Fd SW Center   Community,Supplies Clothing/Uniforms,500,500,2018,2018-1001-530-81125-CT870   -00000000-5120-
